"18853,""1000045"",,""5AV1A1"",""62"",""Prada"",""Prada SPS50L 62 - Cinza e Vermelho"",""0"",""992"""
"18854,""1000046"",,""5AV-9P1"",""62"",""Prada"",""Prada SPS56M 62 - Cinza e Branco"",""0"",""872"""
"18855,""1000047"",,""7CQ-7W1"",""64"",""Prada"",""Prada SPS54I 64 - Cinza"",""0"",""987"""
"18856,""1000048"",""7891318420146"",""L0205"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Dourado - L0205"",""3"",""598"""
"18857,""1000049"",""7891318429682"",""L2823"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Preto - L2823"",""1"",""598"""
"18858,""1000050"",""805289601708"",""W0879"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Prata - W0879"",""1"",""598"""
"18859,""1000051"",""7895653133501"",""W0365"",""51"",""Ray-Ban"",""Ray-Ban RB3016 Clubmaster 51 - Preto - W0365"",""2"",""598"""
"18860,""1000052"",""805289304456"",""W0366"",""51"",""Ray-Ban"",""Ray-Ban RB3016 Clubmaster 51 - Tartaruga - W0366"",""0"",""598"""
"18862,""1000054"",""7891318420108"",""001/3K"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Dourado - 001/3K"",""0"",""678"""
"18863,""1000055"",,""001/M4"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Dourado - Polarizado - 001/M4"",""0"",""665"""
"18864,""1000056"",""7891318420634"",""004/71"",""65"",""Ray-Ban"",""Ray-Ban RB3454L 65 - Prata"",""0"",""371"""
"18865,""1000057"",,""002/71"",""63"",""Ray-Ban"",""Ray-Ban RB3468E 63 - Preto"",""0"",""371"""
"18866,""1000058"",,""004/71"",""63"",""Ray-Ban"",""Ray-Ban RB3468E 63 - Prata"",""0"",""371"""
"18867,""1000059"",,""001/13"",""63"",""Ray-Ban"",""Ray-Ban RB3468E 63 - Dourado"",""0"",""371"""
"18868,""1000060"",""7891318429668"",""001/3F"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Dourado - 001/3F"",""2"",""644"""
"18869,""1000061"",,""002"",""62"",""Ray-Ban"",""Ray-Ban RB3492 62 - Preto"",""0"",""581"""
"18870,""1000062"",,""004/58"",""62"",""Ray-Ban"",""Ray-Ban RB3492 62 - Prata e Preto"",""0"",""699"""
"18871,""1000063"",,""004"",""62"",""Ray-Ban"",""Ray-Ban RB3492 62 - Prata e Preto"",""0"",""581"""
"19844,""1000064"",,""280/13"",""64"",""Vogue"",""Vogue VO3760SE 64 - Dourado - 280/13"",""0"",""311"""
"18873,""1000065"",,""1917/13"",""59"",""Vogue"",""Vogue VO2695S 59 - Marrom Claro"",""0"",""443"""
"18874,""1000066"",,""307-71"",,""Mormaii"",""Mormaii Joaca 345  - Preto Fosco - 307-71"",""0"",""231"""
"18875,""1000067"",,""002/71"",""65"",""Ray-Ban"",""Ray-Ban RB3454E 65 - Preto"",""0"",""371"""
"19195,""1000068"",,""2001 066 12"",,""Absurda"",""Absurda Calixto  - TranslÃºcido"",""0"",""350"""
"18877,""1000069"",,""2001 398 41"",,""Absurda"",""Absurda Calixto - BordÃ´"",""0"",""350"""
"35084,""100007"",,""Incolor"",,,""Lentes CR-39 de Alta Qualidade "",""0"",""20"""
"18878,""1000070"",,""2043 780 98"",,""Absurda"",""Absurda Guanabara  - TranslÃºcido"",""0"",""475"""
"18879,""1000071"",,""G21"",""58"",""Ana Hickmann"",""Ana Hickmann AH9136 58 - Tartaruga/Oncinha"",""0"",""522"""
"18880,""1000072"",,""OH2X1"",""62"",""Carrera"",""Carrera Carrera 11 62 - Preto Fosco"",""0"",""348"""
"18881,""1000073"",,""AU2K8"",""63"",""Emporio Armani"",""Emporio Armani EA 9789/S 63 - Dourado RosÃª"",""0"",""795"""
"18882,""1000074"",""700285497556"",""OO4054-07"",""60"",""Oakley"",""Oakley Caveat 60 - Dourado"",""0"",""546"""
"18883,""1000075"",""700285544670"",""OO4262-02"",""60"",""Oakley"",""Oakley Daisy Chain 60 - Vermelho MetÃ¡lico"",""0"",""545"""
"18884,""1000076"",""700285542805"",""OO4061-06"",""59"",""Oakley"",""Oakley Deviation 59 - Prata Fosco"",""0"",""652"""
"18885,""1000077"",,""9003/87"",""58"",""Polo Ralph Lauren"",""Polo Ralph Lauren 3064 58 - Preto"",""0"",""459"""
"18886,""1000078"",""7895653138841"",""014/51"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Marrom MetÃ¡lico - 014/51"",""0"",""644"""
"18887,""1000079"",""7891318435171"",""112/19"",""58"",""Ray-Ban"",""Ray-Ban RB3025 Aviador 58 - Dourado / Verde Espelhado - 112/19"",""0"",""631"""
"18888,""1000080"",,""001/13"",""65"",""Ray-Ban"",""Ray-Ban RB3454E 65 - Dourado"",""0"",""371"""
"18889,""1000081"",,""001/13"",""64"",""Ray-Ban"",""Ray-Ban RB3470L 64 - Dourado e Tartaruga"",""0"",""371"""
